Customer_Id,Cluster,Session_Frequency,Duration,Total_Data_Volume
33601001722.0,2,1,116720.0,878690574.0
33601001754.0,3,1,181230.0,156859643.0
33601002511.0,3,1,134969.0,595966483.0
33601007832.0,0,1,49878.0,422320698.0
33601008617.0,1,2,37104.0,1457410944.0
33601010682.0,1,2,253983.0,615217221.0
33601011634.0,1,2,128360.0,654723066.0
33601011959.0,0,1,86399.0,332660357.0
33601014694.0,1,2,242249.0,990132189.0
33601020306.0,2,1,124854.0,732463761.0
33601021045.0,0,1,86399.0,114976036.0
33601021217.0,2,1,38416.0,630092434.0
33601022743.0,0,1,97363.0,482419082.0
33601024291.0,0,1,86399.0,358911900.0
33601025738.0,3,1,169979.0,230324396.0
33601026147.0,2,1,34544.0,541779966.0
33601027208.0,2,1,91753.0,697559667.0
33601031129.0,2,1,55730.0,637053075.0
33601032846.0,2,1,21785.0,718452416.0
33601032987.0,2,1,74893.0,647203715.0
33601034530.0,1,2,73674.0,1632760645.0
33601034784.0,1,2,226752.0,1122862615.0
33601035197.0,0,1,135664.0,418991822.0
33601036379.0,0,1,100371.0,159264496.0
33601037966.0,0,1,98337.0,460886348.0
33601041557.0,2,1,79098.0,599733815.0
33601044885.0,2,1,82844.0,846693854.0
33601044963.0,0,1,86399.0,272021271.0
33601047438.0,0,1,31778.0,250441008.0
33601048751.0,1,3,162176.0,1939526921.0
33601050219.0,0,1,29046.0,175382988.0
33601054608.0,1,2,138731.0,413792006.0
33601055238.0,2,1,93304.0,786678318.0
33601055260.0,1,2,329753.0,1449852718.0
33601055375.0,1,2,205408.0,461634852.0
33601056091.0,3,1,170907.0,597412570.0
33601062786.0,2,1,10532.0,769716233.0
33601063991.0,1,2,139774.0,1102608710.0
33601070392.0,3,1,186444.0,720766230.0
33601070798.0,2,1,12842.0,692598460.0
33601071144.0,0,1,86399.0,115294379.0
33601072539.0,0,1,32737.0,373706286.0
33601072619.0,1,2,193473.0,1175215072.0
33601073097.0,1,2,205741.0,1025204491.0
33601073415.0,1,2,71777.0,877844226.0
33601074590.0,3,1,231213.0,798276154.0
33601075900.0,3,1,138402.0,617566567.0
33601076841.0,0,1,86399.0,553411163.0
33601082181.0,1,2,52765.0,1120386688.0
33601083661.0,0,1,61840.0,101868586.0
33601084919.0,3,1,205474.0,675056386.0
33601086000.0,1,2,107959.0,1511483348.0
33601088633.0,1,2,225793.0,1513372152.0
33601100080.0,0,1,153394.0,162930783.0
33601100578.0,0,1,91672.0,363047534.0
33601100665.0,0,1,32643.0,319381145.0
33601100684.0,2,1,56488.0,719744746.0
33601101581.0,1,3,263117.0,1717313534.0
33601110813.0,0,1,88729.0,376686401.0
33601111421.0,2,1,81430.0,828026723.0
33601114380.0,0,1,113542.0,586303363.0
33601121112.0,0,1,12921.0,406230342.0
33601121585.0,1,2,223569.0,1263455762.0
33601137075.0,0,1,121819.0,504002250.0
33601139346.0,3,1,154511.0,377569092.0
33601142645.0,1,2,187516.0,1294594671.0
33601145915.0,1,2,83016.0,790601498.0
33601146333.0,2,1,75801.0,667178010.0
33601147767.0,0,1,84102.0,209759849.0
33601150959.0,0,1,86399.0,440278475.0
33601152175.0,3,1,227160.0,719654870.0
33601152653.0,3,1,177993.0,851777918.0
33601152662.0,1,2,135147.0,762971339.0
33601153325.0,0,1,86400.0,82067439.0
33601154516.0,2,1,27021.0,523503990.0
33601154993.0,2,1,38416.0,610241599.0
33601155426.0,0,1,96870.0,380986673.0
33601156897.0,3,1,146776.0,822215574.0
33601157456.0,2,1,36134.0,800846811.0
